KEY,VAR_TARGET,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50
1496,0,2407,I,34.0,5000.0,1300.0,2.0,8300.0,4852.0,910.0,0.0,22.0,10,2000.0,2000.0,2000.0,K,34.0,977.0,1.0,4.0,0.0,N,B,2000,2000,1.0,0,0,9100.0,7296.0,29.0,1995.0,A,6000,1.0,Y,S,301.0,12,,2.0,8.0,,2767.0,2000.0,869.0,33.0,1085.0,2000,2000.0
1497,0,3207,I,34.0,,,0.0,6250.0,4409.0,912.0,0.0,34.0,10,6250.0,6250.0,1600.0,E,34.0,1379.0,3.0,3.0,2.0,U,E,7200,4200,1.0,0,0,11100.0,293.0,56.0,293.0,A,8500,3.0,N,S,307.0,7,,87.0,294.0,,6250.0,6250.0,,397.0,,4200,
1498,0,2610,W,34.0,2500.0,2500.0,0.0,2500.0,1018.0,380.0,0.0,5.0,10,,,,K,35.0,1390.0,0.0,2.0,1.0,,E,3000,3000,,0,0,900.0,0.0,66.0,,,10000,5.0,N,S,103.0,0,,0.0,0.0,,2500.0,,,0.0,,3000,
1499,0,2901,I,34.0,,,0.0,2000.0,1883.0,500.0,0.0,19.0,6,2000.0,2000.0,,K,60.0,1025.0,0.0,1.0,0.0,I,E,1750,1750,1.0,0,0,0.0,0.0,16.0,,,5000,3.0,N,E,703.0,6,,0.0,0.0,,2000.0,2000.0,,0.0,,1750,
1500,0,3211,I,34.0,,,0.0,0.0,0.0,0.0,0.0,36.0,9,0.0,0.0,,K,35.0,0.0,0.0,0.0,0.0,U,B,2500,2500,0.0,0,3,0.0,0.0,74.0,,,15000,1.0,Y,S,902.0,0,,6.0,4.0,,0.0,0.0,,7.0,0.0,2500,
1501,0,3608,I,35.0,18400.0,18400.0,0.0,27400.0,5106.0,1500.0,0.0,33.0,10,9000.0,9000.0,1000.0,E,35.0,1336.0,0.0,0.0,1.0,U,E,4500,4500,1.0,1,1,1000.0,0.0,77.0,0.0,A,15000,1.0,Y,S,11.0,15,146665.0,2106.0,1941.0,,13700.0,9000.0,4500.0,2789.0,4600.0,4500,
1502,0,3405,Q,34.0,4500.0,514.0,0.0,8764.0,2849.0,1334.0,78.0,16.0,10,0.0,0.0,,E,35.0,1217.0,2.0,4.0,2.0,O,E,2200,2200,,1,0,0.0,0.0,6.0,,,8000,5.0,Y,S,806.0,0,7149.0,0.0,86.0,,2921.0,0.0,1749.0,121.0,1695.0,2200,2200.0
1503,0,3009,I,34.0,10733.0,10733.0,2.0,11733.0,63.0,824.0,0.0,5.0,10,1000.0,1000.0,,E,34.0,988.0,0.0,0.0,0.0,N,B,2750,2750,1.0,1,0,500.0,0.0,77.0,,,14000,2.0,N,S,101.0,10,4563.0,5223.0,3326.0,,5867.0,1000.0,,5938.0,,2500,2750.0
1504,0,2812,W,34.0,750.0,750.0,0.0,750.0,698.0,200.0,230.0,13.0,10,,,,E,33.0,1175.0,1.0,2.0,7.0,,B,1800,1800,,0,0,1001.0,493.0,78.0,,,10000,1.0,N,S,405.0,0,,0.0,0.0,,750.0,,,0.0,,1800,
1505,0,2500,W,34.0,2380.0,750.0,1.0,3130.0,1142.0,328.0,0.0,14.0,10,,,,K,34.0,1203.0,4.0,6.0,0.0,,B,3100,3100,,0,0,0.0,0.0,90.0,,,6500,5.0,N,S,1.0,0,,0.0,0.0,,1565.0,,,0.0,,3100,
1506,0,2411,W,34.0,2000.0,2000.0,0.0,2000.0,438.0,0.0,0.0,2.0,10,,,,E,34.0,0.0,6.0,19.0,0.0,,B,2400,2400,,0,0,0.0,0.0,6.0,,,10000,3.0,N,S,6.0,0,,0.0,0.0,,2000.0,,,0.0,,2400,
1507,0,2905,W,34.0,6000.0,6000.0,0.0,6000.0,2830.0,800.0,0.0,34.0,10,,,,E,77.0,1299.0,4.0,7.0,3.0,,E,2500,2500,,0,0,1372.0,0.0,16.0,,,6500,3.0,N,S,309.0,0,,0.0,0.0,,6000.0,,,0.0,,2500,
1508,0,2812,W,34.0,3584.0,1800.0,2.0,5384.0,4288.0,120.0,752.0,34.0,10,,,,E,7.0,1140.0,5.0,8.0,0.0,,E,2000,2000,,0,0,1209.0,686.0,64.0,,,5000,3.0,N,S,11.0,0,,0.0,0.0,,2692.0,,,0.0,,2000,
1509,0,2201,W,34.0,1000.0,1000.0,0.0,1000.0,191.0,100.0,0.0,,4,,,,E,34.0,1371.0,2.0,2.0,0.0,,B,1500,1500,,0,0,300.0,0.0,23.0,,,1400,1.0,N,O,0.0,0,,0.0,0.0,,1000.0,,,0.0,,1500,
1510,0,2102,W,34.0,500.0,500.0,2.0,500.0,392.0,160.0,160.0,9.0,5,,,,E,40.0,853.0,1.0,4.0,0.0,,B,1800,1800,,0,0,900.0,874.0,16.0,,,7000,1.0,N,S,1.0,0,,0.0,0.0,,500.0,,,0.0,,1800,
1511,0,3310,W,34.0,10200.0,1500.0,1.0,16500.0,14812.0,2100.0,0.0,3.0,5,,,,E,43.0,811.0,5.0,16.0,3.0,,E,5000,5000,,0,0,23874.0,12295.0,15.0,,,10000,3.0,N,S,710.0,0,,0.0,0.0,,5500.0,,,0.0,,5000,
1512,0,3703,W,34.0,7000.0,1000.0,0.0,9250.0,2326.0,327.0,324.0,14.0,10,,,,E,38.0,1144.0,0.0,0.0,1.0,,E,2000,2000,,0,0,0.0,0.0,16.0,,,5000,1.0,N,S,501.0,0,,0.0,0.0,,3083.0,,,0.0,,2000,
1513,0,3110,I,34.0,1500.0,800.0,1.0,5300.0,2221.0,4130.0,0.0,36.0,10,3000.0,3000.0,400.0,K,34.0,1327.0,0.0,7.0,0.0,U,E,1500,1500,1.0,1,7,400.0,0.0,16.0,0.0,A,5000,1.0,N,S,207.0,5,2943.0,420.0,161.0,,1767.0,3000.0,,81.0,,1500,
1514,0,2806,I,34.0,10000.0,2750.0,0.0,18050.0,11291.0,2723.0,2583.0,9.0,5,0.0,0.0,,E,21.0,799.0,0.0,6.0,5.0,U,E,3445,3445,0.0,0,4,4800.0,4780.0,29.0,,,10000,4.0,Y,E,803.0,1,,0.0,0.0,,6017.0,0.0,,0.0,1723.0,3445,
1515,0,2211,W,34.0,5600.0,5600.0,1.0,5600.0,2193.0,710.0,0.0,8.0,9,,,,E,55.0,1350.0,0.0,2.0,0.0,,B,2500,2500,,0,0,5759.0,24.0,16.0,,,15000,5.0,N,B,11.0,0,,0.0,0.0,,5600.0,,,0.0,,2500,
1516,0,2610,I,34.0,11450.0,2400.0,0.0,13850.0,11291.0,2942.0,0.0,19.0,10,0.0,0.0,,E,34.0,825.0,4.0,6.0,2.0,U,E,4000,4000,0.0,0,1,1100.0,1094.0,16.0,,,11500,5.0,Y,S,700.0,0,,0.0,0.0,,6925.0,0.0,320.0,0.0,160.0,4000,
1517,0,2611,I,34.0,6400.0,2900.0,1.0,9300.0,1300.0,744.0,0.0,36.0,10,0.0,0.0,,E,1.0,1433.0,0.0,0.0,0.0,L,B,1500,1500,0.0,0,3,1500.0,0.0,16.0,,,10000,1.0,N,S,201.0,0,,10220.0,10163.0,,4650.0,0.0,,10076.0,,1500,
1518,0,3703,I,34.0,6600.0,6600.0,0.0,12600.0,5056.0,1670.0,0.0,23.0,10,6000.0,6000.0,1900.0,E,34.0,1390.0,0.0,0.0,3.0,U,E,4550,4550,1.0,0,0,1900.0,0.0,78.0,0.0,A,15000,5.0,Y,S,1211.0,0,,2446.0,1732.0,,6300.0,6000.0,3985.0,1601.0,5523.0,4550,
1519,0,2809,I,34.0,5050.0,1724.0,0.0,9274.0,1405.0,800.0,0.0,3.0,10,2500.0,2500.0,,E,34.0,1432.0,3.0,3.0,2.0,U,B,2500,2500,1.0,0,1,12900.0,150.0,15.0,,,12400,1.0,N,S,1002.0,10,,1.0,154.0,,3091.0,2500.0,,82.0,,2500,2500.0
1520,0,2800,Q,34.0,,,0.0,10500.0,6091.0,4406.0,0.0,32.0,10,10500.0,10500.0,800.0,E,34.0,1427.0,0.0,1.0,2.0,L,E,4000,4000,1.0,0,1,1587.0,0.0,29.0,0.0,A,15000,1.0,N,S,506.0,14,,13249.0,15291.0,,10500.0,10500.0,,12339.0,,4000,4000.0
1521,0,3801,Q,35.0,4800.0,4800.0,0.0,4800.0,4096.0,40.0,0.0,14.0,10,0.0,0.0,,K,35.0,1274.0,4.0,9.0,3.0,U,B,3000,3000,0.0,0,2,150.0,0.0,65.0,,,12000,1.0,N,S,408.0,18,,8241.0,4662.0,,4800.0,0.0,,3038.0,,3000,3000.0
1522,0,4710,Q,34.0,1000.0,1000.0,0.0,2250.0,0.0,827.0,0.0,32.0,10,1250.0,1250.0,,K,35.0,1137.0,0.0,0.0,1.0,L,E,1500,1500,0.0,0,0,700.0,115.0,16.0,,,15000,3.0,Y,S,404.0,0,,292.0,168.0,,1125.0,1250.0,1385.0,83.0,1375.0,1500,1500.0
1523,0,3408,Q,34.0,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0,36.0,10,0.0,0.0,500.0,E,34.0,1320.0,0.0,0.0,6.0,I,E,3200,3200,0.0,0,2,505.0,458.0,16.0,456.0,A,1900,1.0,Y,S,1.0,0,,300.0,189.0,,4000.0,0.0,1560.0,200.0,1761.0,3200,3200.0
1524,0,1807,Q,34.0,,,0.0,1000.0,0.0,0.0,0.0,13.0,10,1000.0,1000.0,,E,6.0,1035.0,0.0,1.0,0.0,L,B,1300,1300,1.0,0,4,0.0,0.0,64.0,,,1000,1.0,Y,S,700.0,5,,2.0,24.0,,1000.0,1000.0,,17.0,651.0,1300,1300.0
1525,0,4511,I,34.0,4680.0,0.0,3.0,8380.0,4708.0,840.0,0.0,27.0,5,1000.0,1000.0,,K,35.0,1068.0,0.0,2.0,0.0,I,E,1500,1500,1.0,1,3,1000.0,923.0,64.0,,,10000,3.0,N,S,204.0,0,3278.0,2.0,6.0,,1676.0,1000.0,,11.0,,1500,
1526,0,4110,I,34.0,13800.0,7900.0,0.0,25700.0,8817.0,1914.0,0.0,22.0,6,4000.0,4000.0,,E,63.0,1323.0,0.0,3.0,3.0,L,E,3000,3000,1.0,0,0,4100.0,0.0,29.0,,,15000,1.0,N,S,1704.0,0,,0.0,0.0,,8567.0,4000.0,,0.0,,3000,
1527,0,4504,I,34.0,2250.0,1.0,3.0,3751.0,2395.0,1250.0,0.0,25.0,9,1500.0,1500.0,,E,34.0,1165.0,0.0,1.0,0.0,I,E,15000,15000,1.0,0,2,0.0,0.0,41.0,,,15000,3.0,N,B,302.0,0,,0.0,0.0,,1250.0,1500.0,,0.0,,15000,
1528,0,2309,I,34.0,800.0,800.0,1.0,800.0,107.0,405.0,0.0,36.0,10,0.0,0.0,,E,34.0,1043.0,0.0,3.0,0.0,O,B,1800,1800,0.0,0,2,850.0,812.0,16.0,,,6000,2.0,Y,S,5.0,2,,2545.0,1343.0,,800.0,0.0,1476.0,662.0,1472.0,1800,
1529,0,3808,W,61.0,3700.0,3700.0,0.0,3700.0,2643.0,757.0,0.0,14.0,10,,,,E,61.0,1214.0,2.0,4.0,0.0,,E,2500,2500,,0,0,0.0,0.0,64.0,,,10000,1.0,N,Y,706.0,0,,0.0,0.0,,3700.0,,,0.0,,2500,
1530,0,3110,I,34.0,10000.0,6500.0,0.0,16500.0,5250.0,1768.0,0.0,3.0,10,0.0,0.0,,E,34.0,1423.0,2.0,6.0,11.0,U,E,5000,5000,0.0,0,1,3000.0,1287.0,15.0,,,7000,2.0,N,E,904.0,0,,0.0,0.0,,8250.0,0.0,,0.0,,5000,
1531,0,3701,I,34.0,7600.0,7600.0,0.0,7600.0,6297.0,1300.0,0.0,13.0,8,0.0,0.0,,E,64.0,1377.0,1.0,2.0,0.0,L,E,2000,2000,0.0,0,0,0.0,0.0,41.0,,,10000,3.0,N,B,104.0,2,,3106.0,1053.0,,7600.0,0.0,,518.0,,2000,
1532,0,6401,W,34.0,20700.0,1200.0,0.0,55100.0,11326.0,1999.0,0.0,,3,,,,E,34.0,1399.0,0.0,0.0,8.0,,E,4000,4000,,0,0,0.0,0.0,11.0,,,10000,1.0,N,E,0.0,0,,0.0,0.0,,9183.0,,,0.0,,4000,
1533,0,4705,W,17.0,2550.0,2550.0,0.0,2550.0,2450.0,1330.0,0.0,13.0,10,,,,E,17.0,1111.0,0.0,1.0,0.0,,E,1500,1500,,0,0,300.0,0.0,99.0,,,2500,3.0,N,Y,7.0,0,,0.0,0.0,,2550.0,,,0.0,,1500,
1534,0,4609,I,34.0,,,0.0,2600.0,435.0,320.0,0.0,34.0,10,2600.0,2600.0,,K,34.0,1389.0,0.0,1.0,0.0,L,E,1750,1750,1.0,0,0,0.0,0.0,64.0,,,15000,1.0,Y,S,1.0,0,,1908.0,1180.0,,2600.0,2600.0,2124.0,1346.0,1707.0,1750,
1535,0,3110,I,34.0,,,0.0,5000.0,505.0,1169.0,0.0,36.0,10,5000.0,5000.0,,E,41.0,1350.0,1.0,1.0,0.0,U,B,3000,3000,1.0,0,0,0.0,0.0,16.0,,,15000,1.0,Y,S,203.0,0,,1398.0,1837.0,,5000.0,5000.0,2848.0,2027.0,2848.0,3000,
1536,0,3009,I,34.0,,,0.0,7000.0,2647.0,950.0,0.0,2.0,10,7000.0,7000.0,500.0,E,34.0,1131.0,0.0,0.0,1.0,U,B,2100,2100,1.0,1,0,3000.0,299.0,7.0,298.0,A,1000,5.0,N,S,7.0,11,5703.0,5.0,17.0,,7000.0,7000.0,,13.0,,2100,
1537,0,2308,I,34.0,,,0.0,1000.0,252.0,729.0,0.0,13.0,10,1000.0,1000.0,,E,6.0,1206.0,2.0,4.0,0.0,U,B,1750,1750,1.0,1,3,0.0,0.0,16.0,,,1500,1.0,Y,S,500.0,8,1000.0,194.0,220.0,,1000.0,1000.0,1656.0,311.0,828.0,1750,
1538,0,2406,I,34.0,7700.0,500.0,2.0,12000.0,2920.0,800.0,0.0,13.0,10,0.0,0.0,,E,6.0,1264.0,3.0,4.0,0.0,U,B,2000,2000,0.0,0,4,3000.0,0.0,78.0,,,15000,1.0,N,S,7.0,7,,0.0,0.0,,2400.0,0.0,,0.0,,2000,
1539,0,3104,I,35.0,17500.0,700.0,3.0,27100.0,25905.0,11839.0,0.0,5.0,10,0.0,0.0,,E,35.0,965.0,4.0,16.0,6.0,U,B,9500,9500,0.0,0,22,4250.0,4248.0,23.0,,,10000,1.0,N,S,405.0,72,,150.0,111.0,,4517.0,0.0,,67.0,,9500,
1540,0,2700,W,34.0,1000.0,1000.0,2.0,1000.0,188.0,200.0,0.0,14.0,10,,,,E,41.0,1310.0,0.0,7.0,4.0,,E,2000,2000,,0,0,0.0,0.0,75.0,,,6000,5.0,N,S,0.0,0,,0.0,0.0,,1000.0,,,0.0,,2000,
1541,0,2710,W,34.0,3500.0,750.0,0.0,5750.0,4299.0,4050.0,0.0,9.0,5,,,,E,48.0,681.0,1.0,2.0,2.0,,B,2500,2500,,0,0,15750.0,4867.0,89.0,,,10000,3.0,N,S,208.0,0,,0.0,0.0,,1917.0,,,0.0,,2500,
1542,0,1910,W,34.0,500.0,500.0,2.0,500.0,279.0,220.0,0.0,14.0,10,,,,E,6.0,983.0,1.0,2.0,0.0,,B,1700,1700,,0,0,300.0,0.0,78.0,,,5000,1.0,N,S,2.0,0,,0.0,0.0,,500.0,,,0.0,,1700,
1543,0,3802,I,34.0,19700.0,19700.0,0.0,19700.0,786.0,1020.0,0.0,34.0,10,0.0,0.0,,E,6.0,1470.0,2.0,4.0,3.0,O,E,1500,1500,,0,0,1200.0,0.0,81.0,,,15000,1.0,N,S,201.0,0,,0.0,0.0,,19700.0,0.0,,0.0,,1500,
1544,0,5911,I,34.0,2300.0,2300.0,0.0,2300.0,633.0,70.0,0.0,,3,,,,K,52.0,1498.0,1.0,1.0,1.0,I,D,2000,2000,,0,0,1000.0,0.0,16.0,,,15000,1.0,N,S,0.0,0,,0.0,0.0,,2300.0,,,0.0,,2000,
1545,0,2605,I,34.0,,,1.0,2500.0,1822.0,500.0,0.0,5.0,10,2500.0,2500.0,,K,34.0,1217.0,0.0,0.0,0.0,U,B,3750,3750,1.0,0,1,400.0,0.0,15.0,,,2400,3.0,N,S,8.0,6,,826.0,750.0,,2500.0,2500.0,,929.0,,3750,
1546,0,2011,I,34.0,,,0.0,0.0,0.0,0.0,0.0,2.0,10,0.0,0.0,500.0,E,34.0,1284.0,0.0,0.0,0.0,L,B,2000,2000,0.0,1,1,500.0,509.0,77.0,499.0,A,10000,2.0,Y,S,502.0,11,5857.0,60.0,92.0,,0.0,0.0,2244.0,71.0,2120.0,2000,2000.0
1547,0,4603,I,20.0,3800.0,1900.0,0.0,11200.0,0.0,650.0,0.0,14.0,9,2000.0,2000.0,800.0,E,20.0,1393.0,0.0,0.0,0.0,I,E,2500,2500,0.0,2,9,5450.0,0.0,41.0,0.0,A,5500,1.0,N,B,,39,5237.0,40.0,119.0,,2800.0,2000.0,,82.0,,2500,2500.0
1548,0,2911,I,34.0,4150.0,250.0,0.0,6950.0,1343.0,1137.0,0.0,14.0,10,2250.0,2250.0,1500.0,E,7.0,1268.0,1.0,1.0,0.0,U,B,2500,2500,0.0,0,0,2250.0,0.0,16.0,0.0,A,5000,1.0,Y,S,207.0,0,,71.0,229.0,,1738.0,2250.0,1731.0,244.0,1824.0,2500,2500.0
1549,0,2707,I,34.0,750.0,750.0,5.0,750.0,453.0,290.0,0.0,14.0,10,1000.0,1000.0,,E,60.0,1091.0,0.0,1.0,0.0,U,E,1550,1550,1.0,0,4,0.0,0.0,29.0,,,3000,3.0,Y,S,10.0,9,,20.0,40.0,,750.0,1000.0,,112.0,509.0,1550,
1550,0,3809,I,34.0,,,0.0,2000.0,1687.0,160.0,0.0,14.0,10,2000.0,2000.0,,K,37.0,955.0,0.0,1.0,0.0,U,E,2500,2500,1.0,2,0,0.0,0.0,16.0,,,7000,4.0,Y,S,301.0,5,8077.0,250.0,233.0,,2000.0,2000.0,924.0,282.0,967.0,2500,
1551,0,3108,I,34.0,5000.0,2000.0,0.0,12000.0,5879.0,941.0,0.0,5.0,10,5000.0,5000.0,2000.0,E,34.0,1303.0,1.0,3.0,3.0,U,B,3000,3000,1.0,0,1,5100.0,1640.0,16.0,1622.0,A,4000,2.0,Y,S,110.0,12,,115.0,598.0,,4000.0,5000.0,4321.0,519.0,2161.0,3000,
1552,0,3200,I,34.0,15190.0,6000.0,0.0,21690.0,8077.0,3269.0,0.0,8.0,10,500.0,500.0,1000.0,E,41.0,756.0,0.0,1.0,2.0,U,E,5000,5000,1.0,0,0,1000.0,952.0,23.0,942.0,A,12500,3.0,Y,S,8.0,0,,321.0,406.0,,7230.0,500.0,3590.0,277.0,3590.0,5000,
1553,0,3609,I,34.0,3000.0,0.0,0.0,9000.0,776.0,650.0,0.0,24.0,5,5000.0,5000.0,2000.0,E,17.0,1392.0,1.0,4.0,15.0,U,E,3200,3200,1.0,0,4,17729.0,7154.0,11.0,0.0,A,1000,5.0,Y,E,102.0,8,,551.0,505.0,,2250.0,5000.0,2959.0,465.0,3169.0,3200,
1554,0,3712,I,34.0,,,1.0,1000.0,869.0,915.0,0.0,32.0,6,1000.0,1000.0,800.0,E,34.0,883.0,1.0,1.0,0.0,U,E,5000,3000,1.0,1,19,800.0,509.0,16.0,765.0,A,1000,1.0,Y,S,1701.0,37,1711.0,14.0,80.0,,1000.0,1000.0,794.0,336.0,794.0,3000,
1555,0,2710,I,34.0,1300.0,1300.0,0.0,4300.0,850.0,600.0,0.0,12.0,10,3000.0,3000.0,,E,23.0,1439.0,0.0,0.0,0.0,U,B,3500,3500,1.0,0,0,1000.0,0.0,23.0,,,14000,3.0,N,S,102.0,2,,7837.0,3306.0,,2150.0,3000.0,,1653.0,,3500,
1556,0,4404,Q,34.0,3325.0,2400.0,0.0,10625.0,7362.0,2658.0,0.0,16.0,10,2400.0,2400.0,800.0,E,34.0,1269.0,0.0,1.0,5.0,I,E,1760,1760,1.0,2,4,3050.0,1420.0,81.0,303.0,A,10000,1.0,Y,S,402.0,0,12991.0,65.0,240.0,,2656.0,2400.0,,307.0,1479.0,1760,1760.0
1557,0,3708,Q,34.0,,,0.0,0.0,0.0,0.0,0.0,26.0,10,0.0,0.0,1000.0,K,37.0,1467.0,0.0,0.0,1.0,L,B,1400,1400,0.0,0,1,1300.0,3.0,89.0,0.0,A,10000,5.0,Y,S,602.0,0,,0.0,8.0,,0.0,0.0,1358.0,5.0,1382.0,1400,1400.0
1558,0,5502,I,34.0,,,0.0,3950.0,1831.0,400.0,0.0,,3,3950.0,3950.0,,E,34.0,1303.0,1.0,1.0,0.0,L,E,4500,4500,1.0,1,0,0.0,0.0,16.0,,,5000,1.0,N,S,,0,3191.0,0.0,0.0,,3950.0,3950.0,,0.0,,4500,4500.0
1559,0,2610,Q,34.0,4000.0,4000.0,3.0,4200.0,4091.0,90.0,0.0,3.0,10,200.0,200.0,,K,16.0,1167.0,0.0,3.0,6.0,U,E,1600,1600,1.0,1,0,0.0,0.0,16.0,,,2550,1.0,N,S,403.0,0,2743.0,0.0,1.0,,2100.0,200.0,,1.0,,1600,1600.0
1560,0,2911,Q,20.0,500.0,500.0,4.0,500.0,503.0,280.0,144.0,26.0,10,0.0,0.0,,E,,887.0,2.0,3.0,0.0,N,E,1900,1900,0.0,0,5,400.0,326.0,89.0,,,12000,1.0,Y,S,800.0,8,,4.0,79.0,,500.0,0.0,1849.0,53.0,925.0,1900,1900.0
1561,0,2405,Q,34.0,750.0,250.0,0.0,3400.0,3023.0,602.0,497.0,36.0,10,2000.0,2000.0,1000.0,E,42.0,635.0,0.0,0.0,1.0,N,B,1800,1800,1.0,2,1,1300.0,0.0,16.0,0.0,A,4000,1.0,Y,S,402.0,0,10595.0,118.0,168.0,,850.0,2000.0,,224.0,0.0,1800,1800.0
1562,0,2409,I,34.0,3600.0,3600.0,0.0,5200.0,2233.0,477.0,0.0,32.0,10,1600.0,1600.0,,E,34.0,960.0,0.0,2.0,2.0,U,B,1750,1750,0.0,1,0,1600.0,1057.0,29.0,,,10000,5.0,Y,S,504.0,3,5747.0,641.0,664.0,,2600.0,1600.0,1374.0,329.0,1374.0,1750,1750.0
1563,0,4708,Q,34.0,9900.0,6300.0,0.0,19700.0,7356.0,3106.0,84.0,,3,3500.0,3500.0,,K,34.0,1290.0,0.0,2.0,3.0,L,E,5300,5300,1.0,0,0,3005.0,0.0,15.0,,,10000,1.0,N,S,200.0,2,,49603.0,27744.0,,6567.0,3500.0,,13719.0,,5300,5300.0
1564,0,3212,Q,34.0,2500.0,1500.0,0.0,6200.0,1556.0,875.0,0.0,32.0,10,0.0,0.0,500.0,E,35.0,1269.0,1.0,5.0,3.0,L,E,1800,1800,0.0,1,5,16850.0,0.0,78.0,177.0,A,3650,5.0,Y,S,811.0,0,500.0,0.0,0.0,,2067.0,0.0,,0.0,881.0,1800,1800.0
1565,0,2910,I,34.0,1450.0,900.0,0.0,6900.0,1555.0,1556.0,684.0,16.0,10,3300.0,3300.0,1950.0,E,38.0,931.0,2.0,3.0,1.0,U,E,3660,3660,1.0,2,1,3950.0,1395.0,23.0,0.0,A,2000,3.0,N,S,304.0,0,30707.0,75.0,46.0,,1725.0,3300.0,,25.0,,3660,3660.0
1566,0,3911,I,34.0,6102.0,1200.0,1.0,16802.0,10732.0,1262.0,184.0,8.0,10,2200.0,2200.0,800.0,E,31.0,848.0,4.0,17.0,7.0,U,E,4000,4000,1.0,0,16,5550.0,4668.0,23.0,799.0,A,5000,2.0,Y,S,900.0,15,,450.0,423.0,,3360.0,2200.0,3985.0,509.0,3985.0,4000,4000.0
1567,0,2600,Q,1.0,5400.0,5400.0,1.0,10400.0,7657.0,5390.0,0.0,24.0,5,5000.0,5000.0,,E,1.0,1325.0,2.0,3.0,1.0,L,B,4700,4700,1.0,0,2,500.0,500.0,11.0,,,6000,1.0,N,S,504.0,56,,0.0,0.0,,5200.0,5000.0,,0.0,,4700,4700.0
1568,0,4210,Q,34.0,2899.0,1.0,3.0,10000.0,6890.0,1000.0,372.0,28.0,10,7100.0,7100.0,,E,16.0,1135.0,0.0,1.0,7.0,U,E,2500,2500,1.0,1,5,1500.0,977.0,16.0,,,15000,1.0,N,S,516.0,11,5902.0,7.0,669.0,,3333.0,7100.0,,458.0,,2500,2500.0
1569,0,2412,W,34.0,,,0.0,0.0,0.0,0.0,0.0,11.0,5,,,,E,42.0,1196.0,1.0,9.0,9.0,O,B,2150,2150,,0,0,500.0,499.0,16.0,,,5000,4.0,N,S,2.0,0,,0.0,0.0,,0.0,,,0.0,,2150,2150.0
1570,0,5012,Q,34.0,750.0,750.0,4.0,750.0,569.0,764.0,0.0,,3,0.0,0.0,,K,59.0,978.0,10.0,27.0,5.0,I,B,1038,1038,0.0,0,11,500.0,248.0,16.0,,,10000,3.0,N,S,,15,,19.0,26.0,,750.0,0.0,,31.0,,1038,1038.0
1571,0,2909,W,34.0,2450.0,750.0,0.0,3200.0,2102.0,1200.0,0.0,14.0,10,,,,E,34.0,1075.0,1.0,1.0,1.0,U,B,2500,2500,,0,0,2350.0,1793.0,77.0,,,15000,3.0,N,S,800.0,0,,0.0,0.0,,1600.0,,,0.0,,2500,2500.0
1572,0,1911,W,34.0,,,1.0,0.0,0.0,0.0,0.0,33.0,10,,,,E,59.0,0.0,2.0,2.0,0.0,L,B,1300,1300,0.0,0,5,0.0,0.0,16.0,,,3000,2.0,N,S,801.0,10,,0.0,0.0,,0.0,,,0.0,,1300,1300.0
1573,0,4412,W,34.0,6000.0,6000.0,1.0,6000.0,1157.0,221.0,0.0,36.0,5,0.0,0.0,,E,34.0,1176.0,0.0,5.0,2.0,L,E,2800,2800,0.0,1,2,1600.0,0.0,89.0,,,10000,1.0,N,S,2.0,0,4364.0,3.0,3.0,,6000.0,0.0,,2.0,,2800,2800.0
1574,0,5307,I,43.0,25688.0,500.0,0.0,69538.0,9205.0,2544.0,225.0,6.0,3,4000.0,4000.0,,E,43.0,1121.0,0.0,0.0,3.0,L,E,4600,4600,1.0,0,0,700.0,0.0,16.0,,,13500,1.0,Y,S,528.0,63,,0.0,0.0,,9934.0,4000.0,,1.0,0.0,4600,4600.0
1575,0,3403,Q,34.0,,,0.0,14000.0,2977.0,300.0,0.0,36.0,10,14000.0,14000.0,,E,,1564.0,6.0,7.0,5.0,L,E,1829,1829,1.0,0,18,0.0,0.0,29.0,,,15000,1.0,Y,S,11.0,40,,7739.0,6813.0,,14000.0,14000.0,1830.0,4414.0,1973.0,1829,1829.0
1576,0,3303,Q,34.0,1000.0,1000.0,0.0,1000.0,858.0,150.0,123.0,26.0,10,0.0,0.0,,E,50.0,837.0,1.0,1.0,0.0,L,E,1360,1360,0.0,0,1,0.0,0.0,16.0,,,3000,3.0,N,S,208.0,0,,0.0,0.0,,1000.0,0.0,,0.0,,1360,1360.0
1577,0,3008,Q,34.0,10100.0,10100.0,0.0,11100.0,10770.0,1470.0,0.0,14.0,10,1000.0,1000.0,,E,34.0,1124.0,1.0,4.0,6.0,L,E,4200,4200,0.0,1,4,600.0,453.0,7.0,,,15000,5.0,Y,S,6.0,71,32092.0,478.0,550.0,,5550.0,1000.0,4056.0,469.0,4125.0,4200,4200.0
